,avg_7_mse,avg_mse,cols_drop,dropout,lag_size,n_drop
30,"[18.94413586 21.30816716 22.24890717 22.62626192 22.39538269 22.96440293
 23.36807119]",21.979332701617302,"['Sub_metering_2', 'Sub_metering_3']",0.1,16,2
31,"[20.18968248 21.57263721 22.05777231 22.32443335 22.32393049 22.58752896
 22.8378026 ]",21.984826770002403,"['Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,21,4
32,"[19.05251141 21.34268225 22.15809774 22.61857078 22.36248661 22.88171033
 23.48300482]",21.985580562106687,"['Sub_metering_2', 'Sub_metering_3']",0.4,21,2
33,"[18.97745817 21.3159377  22.24649638 22.70343621 22.39068224 22.86315872
 23.54875645]",22.00656083827543,"['Sub_metering_2', 'Sub_metering_3']",0.4,16,2
34,"[19.27166011 21.29200129 21.92238715 22.3513049  22.53438655 23.11248832
 23.68845155]",22.024668551713482,"['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,21,3
35,"[18.95330069 21.48045984 22.36128951 22.70781929 22.28834018 23.05215908
 23.62075825]",22.06630383256869,['Sub_metering_3'],0.1,11,1
36,"[19.75203181 21.26787195 21.98462702 22.53229085 22.52238811 23.04103858
 23.38535177]",22.069371442802936,"['Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,16,4
37,"[19.83189535 21.38270323 22.26217199 22.44840013 22.27771726 23.14700911
 23.1513545 ]",22.071607366922397,"['Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,16,4
38,"[19.73066841 21.36262752 22.03890616 22.42471652 22.5954703  23.05902314
 23.34597639]",22.07962692000702,"['Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,16,4
39,"[19.01850799 21.32115696 22.33786017 22.73742264 22.42245656 23.07996909
 23.68810858]",22.08649742884159,"['Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,11,2
40,"[19.15195675 21.1233589  22.01728703 22.60583094 22.6927403  23.34458374
 23.83996044]",22.110816872377935,"['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,16,3
41,"[18.96339106 21.4236294  22.31718465 22.69939805 22.45019756 23.24682956
 23.71626215]",22.11669892085859,['Sub_metering_3'],0.4,11,1
42,"[20.03309107 21.65086009 22.37189338 22.45193644 22.51826121 22.93922974
 23.08942243]",22.15067062466978,"['Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,21,4
43,"[19.00707875 21.27834128 22.25301415 22.81719319 22.73467983 23.21546148
 23.8620011 ]",22.166824255040837,"['Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,16,2
44,"[20.38894903 21.77606971 22.4509565  22.76092528 22.47528162 22.74040862
 22.76172848]",22.19347417797109,"['Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,26,4
45,"[19.04264142 21.37083153 22.30555843 22.74887836 22.61765956 23.39453334
 24.01836803]",22.214067237264935,['Sub_metering_3'],0.7000000000000001,11,1
46,"[20.10868158 21.61993767 22.15161558 22.60294786 22.76668343 23.12161908
 23.53005918]",22.271649198001743,"['Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,21,4
47,"[19.05181331 21.42062146 22.26593366 22.90471312 22.85421855 23.60572229
 24.03196196]",22.30499776298634,['Sub_metering_3'],0.7000000000000001,16,1
48,"[19.45872642 22.02408934 22.94907674 23.37221381 22.8290599  23.51707389
 24.02396626]",22.596315193558848,"['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,6,3
49,"[19.48371915 22.01951286 22.86603207 23.37975254 22.96608992 23.60137482
 24.26497254]",22.65449341454869,"['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,6,3
